盗	盜
盘	盤
県	縣
眍	區
眞	真
眦	眥
眬	矓
眯	瞇
着	著
睁	睜
睐	睞
睑	瞼
睾	睾
瞒	瞞
瞩	矚
矤	病
矫	矯
矶	磯
矾	礬
矿	礦
砀	碭
码	碼
砖	磚
砗	硨
砚	硯
砜	風
砺	礪
砻	礱
砾	礫
础	礎
硁	硜
硕	碩
硖	硤
硗	磽
硙	磑
硚	礄
确	確
硷	鹼
碍	礙
碛	磧
碜	磣
碱	鹼
碹	宣
磙	袞
磷	磷
礴	礡
礻	示
礼	禮
祎	禕
祢	禰
祯	禎
祷	禱
祸	禍
禀	稟
禄	祿
禅	禪
离	離
秃	禿
秆	稈
秋	秋
种	種
秘	秘
积	積
称	稱
移	移
秽	穢
秾	穠
稆	穭
税	稅
稣	穌
稳	穩
穑	穡
穷	窮
窃	竊
窍	竅
窑	窯
窛	刂
窜	竄
窝	窩
窥	窺
窦	竇
窭	窶
竖	豎
竜	龍
竞	競
笃	篤
笋	筍
笔	筆
笕	筧
笺	箋
笼	籠
笾	籩
筋	筋
筑	築
筚	篳
筛	篩
筜	簹
筝	箏
筢	把
筹	籌
签	簽
简	簡
箓	籙
箢	宛
箦	簀
箧	篋
箨	籜
箩	籮
箪	簞
箫	簫
篑	簣
篓	簍
篮	籃
篱	籬
篼	兜
簖	籪
籁	籟
籴	糴
类	類
籼	秈
粜	糶
粝	糲
粤	粵
粪	糞
粮	糧
糁	糝
糇	餱
糟	糟
糹	糸
系	系
紧	緊
累	累
絵	繪
絶	絕
絷	縶
綘	健
継	繼
続	續
緜	綿
縂	總
縄	繩
繋	繫
繍	繡
纟	糸
纠	糾
纡	紆
红	紅
纣	紂
纤	纖
纥	紇
约	約
级	級
纨	紈
纩	纊
纪	紀
纫	紉
纬	緯
纭	紜
纮	紘
纯	純
纰	紕
纱	紗
纲	綱
纳	納
纴	紝
纵	縱
纶	綸
纷	紛
纸	紙
纹	紋
纺	紡
纻	紵
纼	紖
纽	紐
纾	紓
线	線
绀	紺
绁	紲
绂	紱
练	練
组	組
绅	紳
细	細
织	織
终	終
绉	縐
绊	絆
绋	紼
绌	絀
绍	紹
绎	繹
经	經
绐	紿
绑	綁
绒	絨
结	結
绔	褲
绕	繞
绖	絰
绗	絎
绘	繪
给	給
绚	絢
绛	絳
络	絡
绝	絕
绞	絞
统	統
绠	綆
绡	綃
绢	絹
绣	繡
绤	綌
绥	綏
绦	絛
继	繼
绨	綈
绩	績
绪	緒
绫	綾
续	續
绮	綺
绯	緋
绰	綽
绱	鞜
绲	緄
绳	繩
维	維
绵	綿
绶	綬
绷	繃
绸	綢
绹	綯
绺	綹
绻	綣
综	綜
绽	綻
绾	綰
绿	綠
缀	綴
缁	緇
缂	緙
缃	緗
缄	緘
缅	緬
缆	纜
